,date,amount_spend,user_id
0,2019-07-05 20:07:48.225,rookie,user_23335
2,2019-06-05 11:45:31.073,rookie,user_28675
3,2019-09-17 02:35:13.943,rookie,user_109967
4,2019-09-26 03:30:47.604,rookie,user_78963
5,2019-05-31 19:59:54.478,rookie,user_100128
6,2019-07-02 11:50:48.211,rookie,user_66509
7,2019-08-27 03:05:08.531,casual,user_91088
8,2019-07-08 16:12:48.511,rookie,user_79500
9,2019-08-21 11:52:49.852,rookie,user_109967
10,2019-06-11 07:28:25.181,rookie,user_80545
11,2019-08-14 04:44:48.369,rookie,user_8688
12,2019-09-23 20:54:01.890,player,user_82327
13,2019-10-08 01:39:47.078,rookie,user_43930
14,2019-07-29 16:39:25.812,casual,user_86390
15,2019-07-18 05:08:52.543,rookie,user_20060
16,2019-10-08 12:42:06.163,rookie,user_94323
17,2019-07-22 17:37:50.213,rookie,user_59401
18,2019-09-05 02:16:54.163,casual,user_14285
19,2019-09-01 22:47:58.590,rookie,user_86806
20,2019-09-24 13:46:49.597,casual,user_41731
21,2019-09-07 13:27:27.250,rookie,user_10672
22,2019-08-07 00:03:28.180,casual,user_100333
23,2019-08-03 05:00:33.445,rookie,user_81771
24,2019-08-13 09:08:03.598,rookie,user_42550
25,2019-10-05 20:59:07.291,rookie,user_84718
26,2019-07-27 06:21:34.038,casual,user_102190
28,2019-06-22 01:03:45.462,rookie,user_72769
30,2019-09-14 16:27:34.324,rookie,user_10641
31,2019-08-17 00:43:25.827,rookie,user_88459
32,2019-10-01 21:40:43.090,rookie,user_12065
33,2019-06-26 04:55:38.377,rookie,user_17571
34,2019-09-25 18:27:39.061,casual,user_41731
35,2019-08-11 07:42:17.342,casual,user_6187
36,2019-07-12 17:44:41.214,rookie,user_87216
37,2019-08-06 16:22:15.146,rookie,user_109212
38,2019-06-11 07:41:24.553,casual,user_1989
39,2019-09-05 07:38:20.497,rookie,user_11619
40,2019-08-09 03:30:34.396,player,user_57454
41,2019-08-15 03:47:02.320,rookie,user_73323
42,2019-08-23 05:01:26.202,rookie,user_69394
43,2019-06-23 11:00:51.847,rookie,user_94687
44,2019-09-05 04:28:24.221,rookie,user_72381
45,2019-08-27 19:24:34.124,rookie,user_55909
46,2019-06-29 14:19:00.885,rookie,user_33431
47,2019-09-25 17:35:10.058,rookie,user_103647
48,2019-08-29 22:03:13.212,rookie,user_23762
49,2019-10-06 00:54:22.591,casual,user_35200
50,2019-07-03 02:00:36.242,rookie,user_28413
51,2019-10-01 04:19:08.334,rookie,user_37252
52,2019-08-18 14:51:35.466,rookie,user_63437
53,2019-09-26 19:15:57.277,rookie,user_27035
54,2019-06-25 23:37:34.161,rookie,user_66237
55,2019-09-17 14:37:03.821,rookie,user_100311
56,2019-08-02 05:34:14.010,rookie,user_6140
57,2019-07-15 02:39:01.055,rookie,user_47005
58,2019-09-25 01:48:18.533,rookie,user_39520
59,2019-07-24 19:06:18.006,rookie,user_6032
60,2019-08-16 09:05:58.270,rookie,user_53915
61,2019-07-20 20:51:26.150,casual,user_7533
62,2019-08-10 01:29:28.669,rookie,user_25765
63,2019-08-20 18:48:12.797,rookie,user_51569
64,2019-08-06 06:54:07.172,rookie,user_103572
65,2019-07-21 06:13:25.779,rookie,user_91362
67,2019-08-27 14:52:47.330,rookie,user_37540
68,2019-07-29 09:27:58.444,whale,user_57454
69,2019-09-15 18:29:00.880,casual,user_57454
70,2019-09-05 16:31:20.781,rookie,user_100249
71,2019-08-15 18:31:15.877,rookie,user_80024
72,2019-08-08 01:55:12.529,rookie,user_30148
74,2019-07-29 00:40:27.758,player,user_8590
75,2019-08-31 09:58:01.706,rookie,user_79213
76,2019-07-04 00:01:58.467,player,user_104104
